TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
Cristal oscuro,1982,93,Fantástico,Jim Henson,"Jim Henson,", ,Estados Unidos,7.0,15873
Cromosoma 3,1979,92,Terror,David Cronenberg,David Cronenberg,Oliver Reed,Canadá,6.3,4897
Cronos,1993,92,Fantástico,Guillermo del Toro,Guillermo del Toro,Federico Luppi,México,6.2,8683
Crows II,2009,133,Acción,Takashi Miike,Takashi Miike,Shun Oguri,Japón,6.2,1122
Crows Zero,2007,130,Acción,Takashi Miike,Takashi Miike,Shun Oguri,Japón,6.2,2284
Cruce de caminos,2012,135,Drama,Derek Cianfrance,Derek Cianfrance,Ryan Gosling,Estados Unidos,6.5,17079
Cruce de caminos,1986,95,Drama,Walter Hill,Walter Hill,Ralph Macchio,Estados Unidos,6.2,3278
Cruce de destinos,2010,94,Comedia,Ricky Gervais,"Ricky Gervais,",Christian Cooke,Reino Unido,6.2,2392
Crudo,2016,98,Terror,Julia Ducournau,Julia Ducournau,Garance Marillier,Francia,6.3,14221
Crueles intenciones,1999,97,Drama,Roger Kumble,Roger Kumble,Ryan Phillippe,Estados Unidos,5.9,15646
Cruella,2021,134,Comedia,Craig Gillespie,Craig Gillespie,Emma Stone,Estados Unidos,6.4,17152
Crupier,1998,94,Intriga,Mike Hodges,Mike Hodges,Clive Owen,Reino Unido,6.2,1548
Cruzando el límite,2008,96,Thriller,Fred Cavayé,Fred Cavayé,Vincent Lindon,Francia,6.5,2558
Cruzando la oscuridad,1995,106,Drama,Sean Penn,Sean Penn,Jack Nicholson,Estados Unidos,6.1,1304
Cría cuervos...,1976,110,Drama,Carlos Saura,Carlos Saura,Ana Torrent,España,7.4,7231
Crímenes de familia,2020,99,Drama,Sebastián Schindel,Sebastián Schindel,Cecilia Roth,Argentina,6.4,2702
Crónica de una fuga,2006,103,Thriller,Israel Adrián Caetano,Israel Adrián Caetano,Sissy Spacek,Estados Unidos,7.1,2476
Crónica de una mentira,2009,128,Drama,Xavier Giannoli,Xavier Giannoli,François Cluzet,Francia,6.4,2021
Crónica negra,1972,96,Acción,Jean-Pierre Melville,Jean-Pierre Melville,Alain Delon,Francia,6.7,1936
Crónicas,2004,98,Thriller,Sebastián Cordero,Sebastián Cordero,John Leguizamo,Ecuador,6.4,1054
Crónicas diplomáticas,2013,113,Comedia,Bertrand Tavernier,Bertrand Tavernier,Thierry Lhermitte,Francia,5.8,1809
Cuando Harry encontró a Sally,1989,96,Romance,Rob Reiner,Rob Reiner,Meg Ryan,Estados Unidos,6.9,50452
Cuando el destino nos alcance,1973,97,Ciencia ficción,Richard Fleischer,Richard Fleischer,Charlton Heston,Estados Unidos,6.7,10024
Cuando el río crece,1984,122,Drama,Mark Rydell,Mark Rydell,Mel Gibson,Estados Unidos,6.1,2665
Cuando menos te lo esperas,2003,129,Romance,Nancy Meyers,Nancy Meyers,Jack Nicholson,Estados Unidos,6.3,26566
Cuando tienes 17 años,2016,114,Drama,André Téchiné,André Téchiné,Sandrine Kiberlain,Francia,6.4,1475
Cuando todo está perdido,2013,106,Aventuras,J.C. Chandor,J.C. Chandor,Robert Redford,Estados Unidos,6.1,9914
Cuando vuelvas a mi lado,1999,92,Drama,Gracia Querejeta,Gracia Querejeta,Mercedes Sampietro,España,6.6,1822
Cuando éramos soldados,2002,138,Bélico,Randall Wallace,Randall Wallace,Mel Gibson,Estados Unidos,6.0,11922
Cuatro bodas y un funeral,1994,118,Romance,Mike Newell,Mike Newell,Hugh Grant,Reino Unido,6.4,78447
Cuatro hermanos,2005,109,Acción,John Singleton,John Singleton,Mark Wahlberg,Estados Unidos,5.8,12125
Cuatro minutos,2006,112,Drama,Chris Kraus,Chris Kraus,Geraldine Chaplin,España,6.7,2453
Cuatro vidas,2007,97,Drama,Jieho Lee,Jieho Lee,Kevin Bacon,Estados Unidos,5.9,5195
Cube,1997,92,Ciencia ficción,Vincenzo Natali,Vincenzo Natali,Maurice Dean Wint,Canadá,7.1,74686
Cuento de Navidad,2009,95,Animación,Robert Zemeckis,Robert Zemeckis,Ryan Reynolds,Reino Unido,6.2,10527
Cuento de invierno,1992,114,Romance,Éric Rohmer,Éric Rohmer,Charlotte Vêry,Francia,7.1,2860
Cuento de otoño,1998,111,Romance,Éric Rohmer,Éric Rohmer,Béatrice Romand,Francia,7.4,5055
Cuento de primavera,1990,112,Romance,Éric Rohmer,Éric Rohmer,Anne Teyssedre,Francia,6.9,2804
Cuento de verano,1996,113,Romance,Éric Rohmer,Éric Rohmer,Melvil Poupaud,Francia,7.4,3892
Cuentos de Terramar,2006,115,Animación,Goro Miyazaki,Goro Miyazaki, ,Japón,6.0,6174
Cuerno de cabra,1972,105,Drama,Metodi Andonov,Metodi Andonov,Katya Paskaleva,Bulgaria,7.1,1256
Cuestión de honor (Pride and Glory),2008,125,Drama,Gavin O'Connor,Gavin O'Connor,Edward Norton,Estados Unidos,6.0,10097
Cuestión de justicia,2019,136,Drama,Destin Cretton,Destin Cretton,Michael B. Jordan,Estados Unidos,6.8,5319
Cuestión de principios,2009,115,Comedia,Rodrigo Grande,Rodrigo Grande,Federico Luppi,Argentina,6.4,1729
Cuestión de sangre,2021,139,Drama,Tom McCarthy,Tom McCarthy,Matt Damon,Estados Unidos,6.2,4930
Cuestión de sangre (Little Odessa),1994,98,Thriller,James Gray,James Gray,Tim Roth,Estados Unidos,6.5,1934
Cumbres borrascosas,1992,106,Romance,Peter Kosminsky,Peter Kosminsky,Juliette Binoche,Reino Unido,6.0,3134
Cure,1997,111,Thriller,Kiyoshi Kurosawa,Kiyoshi Kurosawa,Kôji Yakusho,Japón,6.6,1819
Curso 1984,1982,98,Acción,Mark L. Lester,Mark L. Lester,Perry King,Canadá,5.8,2008
Cuscús,2007,151,Drama,Abdellatif Kechiche,Abdellatif Kechiche,Hafsia Herzi,Francia,6.6,1676
Custodia compartida,2017,93,Drama,Xavier Legrand,Xavier Legrand,Denis Ménochet,Francia,7.3,5846
Cypher,2002,95,Ciencia ficción,Vincenzo Natali,Vincenzo Natali,Jeremy Northam,Canadá,6.5,9982
Cyrano de Bergerac,1990,137,Aventuras,Jean-Paul Rappeneau,Jean-Paul Rappeneau,Gérard Depardieu,Francia,7.3,43531
Cándida,2006,103,Comedia,Guillermo Fesser,Guillermo Fesser,Cándida Villar,España,6.1,6326
Círculo de amigos,1994,96,Romance,Pat O'Connor,Pat O'Connor,Chris O'Donnell,Estados Unidos,5.8,1735
Código 46 (Code 46),2003,90,Ciencia ficción,Michael Winterbottom,Michael Winterbottom,Tim Robbins,Reino Unido,5.8,7594
Código desconocido,2000,117,Drama,Michael Haneke,Michael Haneke,Juliette Binoche,Francia,6.6,4872
Cómo acabar con tu jefe,2011,100,Comedia,Seth Gordon,Seth Gordon,Jason Bateman,Estados Unidos,5.8,31779
Cómo conquistar Hollywood,1995,105,Comedia,Barry Sonnenfeld,Barry Sonnenfeld,John Travolta,Estados Unidos,6.0,14836
Cómo entrenar a tu dragón,2010,98,Animación,Dean DeBlois,"Dean DeBlois,", ,Estados Unidos,7.3,47756
Cómo entrenar a tu dragón 2,2014,102,Animación,Dean DeBlois,Dean DeBlois, ,Estados Unidos,6.9,24956
Cómo entrenar a tu dragón 3,2019,104,Animación,Dean DeBlois,Dean DeBlois, ,Estados Unidos,6.6,9188
Cómo ser John Malkovich,1999,112,Ciencia ficción,Spike Jonze,Spike Jonze,John Cusack,Estados Unidos,7.3,53372
DC Liga de supermascotas,2022,105,Animación,Jared Stern,"Jared Stern,", ,Estados Unidos,5.8,2200
Dallas Buyers Club,2013,117,Drama,Jean-Marc Vallée,Jean-Marc Vallée,Matthew McConaughey,Estados Unidos,7.5,55621
Dando la nota,2012,108,Comedia,Jason Moore,Jason Moore,Anna Kendrick,Estados Unidos,5.8,13616
Danny the Dog,2005,103,Acción,Louis Leterrier,Louis Leterrier,Jet Li,Francia,6.1,16886
Danton,1983,136,Drama,Andrzej Wajda,Andrzej Wajda,Gérard Depardieu,Francia,7.1,1823
Dark City,1998,100,Ciencia ficción,Alex Proyas,Alex Proyas,Rufus Sewell,Estados Unidos,6.9,27836
Dark Water,2002,101,Terror,Hideo Nakata,Hideo Nakata,Hitomi Kuroki,Japón,5.9,12337
Darkman,1990,96,Fantástico,Sam Raimi,Sam Raimi,Liam Neeson,Estados Unidos,5.8,10018
Darkness,2002,102,Terror,Jaume Balagueró,Jaume Balagueró,Anna Paquin,España,5.8,14112
Dating Amber,2020,92,Drama,David Freyne,David Freyne,Fionn O'Shea,Irlanda,6.4,1302
David Brent: Life on the Road,2016,96,Comedia,Ricky Gervais,Ricky Gervais,Ricky Gervais,Reino Unido,5.8,1103
De amor y monstruos,2020,108,Fantástico,Michael Matthews,Michael Matthews,Dylan O'Brien,Estados Unidos,6.0,9792
De dioses y hombres,2010,120,Drama,Xavier Beauvois,Xavier Beauvois,Lambert Wilson,Francia,6.6,7175
De la India a París en un armario de Ikea,2018,92,Comedia,Ken Scott,Ken Scott,Dhanush,Francia,6.0,1410
"De latir, mi corazón se ha parado",2005,107,Drama,Jacques Audiard,Jacques Audiard,Romain Duris,Francia,6.8,5050
De padres a hijas,2015,111,Drama,Gabriele Muccino,Gabriele Muccino,Russell Crowe,Estados Unidos,6.0,3019
De ratones y hombres,1992,115,Drama,Gary Sinise,Gary Sinise,John Malkovich,Estados Unidos,6.8,3562
"De repente, un extraño",1990,107,Intriga,John Schlesinger,John Schlesinger,Michael Keaton,Estados Unidos,6.0,6519
"De tal padre, tal hijo",2013,120,Drama,Hirokazu Koreeda,Hirokazu Koreeda,Masaharu Fukuyama,Japón,7.2,7153
De tu ventana a la mía,2011,96,Drama,Paula Ortiz,Paula Ortiz,Maribel Verdú,España,5.9,2721
De óxido y hueso,2012,120,Romance,Jacques Audiard,Jacques Audiard,Marion Cotillard,Francia,6.9,15909
De-Lovely,2004,125,Musical,Irwin Winkler,Irwin Winkler,Aleksandr Kuznetsov,Rusia,6.2,1312
Dead Man,1995,120,Western,Jim Jarmusch,Jim Jarmusch,Johnny Depp,Estados Unidos,6.9,14941
Dead Man’s Shoes,2004,90,Drama,Shane Meadows,Shane Meadows,Paddy Considine,Reino Unido,7.0,2528
Dead or alive I,1999,105,Thriller,Takashi Miike,Takashi Miike,Riki Takeuchi,Japón,6.1,1673
Deadpool,2016,106,Acción,Tim Miller,Tim Miller,Ryan Reynolds,Estados Unidos,6.8,53773
Deadpool 2,2018,111,Acción,David Leitch,David Leitch,Ryan Reynolds,Estados Unidos,6.7,30819
Death Note: El último nombre,2006,141,Thriller,Shusuke Kaneko,Shusuke Kaneko,Tatsuya Fujiwara,Japón,6.0,2669
Death Proof,2007,114,Terror,Quentin Tarantino,Quentin Tarantino,Kurt Russell,Estados Unidos,6.6,59194
Decision to Leave,2022,138,Intriga,Park Chan-wook,Park Chan-wook,Tang Wei,Corea del Sur,6.9,5033
Decisión final,2014,109,Drama,Ivan Reitman,Ivan Reitman,Kevin Costner,Estados Unidos,6.1,2844
Declaración de guerra,2011,96,Drama,Valérie Donzelli,Valérie Donzelli,Valérie Donzelli,Francia,6.8,4816
Declaradme culpable,2006,122,Drama,Sidney Lumet,Sidney Lumet,Vin Diesel,Estados Unidos,6.2,6112
Defendor,2009,95,Drama,Peter Stebbings,Peter Stebbings,Woody Harrelson,Canadá,5.9,3080
Defensa,1972,110,Aventuras,John Boorman,John Boorman,Jon Voight,Estados Unidos,7.3,9030
"Definitivamente, quizás",2008,105,Romance,Adam Brooks,Adam Brooks,Clara Rugaard,Australia,6.2,10708
Defosaenfosa (De fosa en fosa),2006,103,Comedia,Jan Cvitkovic,Jan Cvitkovic,Gregor Bakovic,Eslovenia,6.4,1165
Del revés (Inside Out),2015,94,Animación,Pete Docter,"Pete Docter,", ,Estados Unidos,7.8,80991
Delicatessen,1991,95,Fantástico,Jean-Pierre Jeunet,"Jean-Pierre Jeunet,",Dominique Pinon,Francia,7.2,44250
Delicias turcas,1973,103,Romance,Paul Verhoeven,Paul Verhoeven,Rodolfo Sancho,España,6.2,2220
Deliciosa Martha,2001,107,Romance,Sandra Nettelbeck,Sandra Nettelbeck,Sílvia Munt,España,6.8,4923
Delicioso,2021,112,Comedia,Eric Besnard,Eric Besnard,Grégory Gadebois,Francia,6.5,1880
Delirious,2006,107,Comedia,Tom DiCillo,Tom DiCillo,Steve Buscemi,Estados Unidos,6.1,1698
Delitos menores,2004,97,Drama,David Duchovny,David Duchovny,Anton Yelchin,Estados Unidos,6.1,1040
Delitos y faltas,1989,104,Drama,Woody Allen,Woody Allen,Woody Allen,Estados Unidos,7.9,24711
Demolición,2015,100,Drama,Jean-Marc Vallée,Jean-Marc Vallée,Jake Gyllenhaal,Estados Unidos,6.4,8144
Demonios en el jardín,1982,100,Drama,Manuel Gutiérrez Aragón,Manuel Gutiérrez Aragón,Ángela Molina,España,6.2,1254
Dentro del laberinto,1986,101,Fantástico,Jim Henson,Jim Henson,Jennifer Connelly,Reino Unido,7.2,32404
Depredador,1987,107,Acción,John McTiernan,John McTiernan,Woody Allen,Reino Unido,6.8,58303
"Deprisa, deprisa",1981,98,Drama,Carlos Saura,Carlos Saura,Berta Socuéllamos,España,6.5,5655
Derecho de familia,2006,102,Drama,Daniel Burman,Daniel Burman,Daniel Hendler,Argentina,6.4,2868
Derribad al hombre,2019,90,Thriller,Bridget Savage Cole,"Bridget Savage Cole,",Sophie Lowe,Estados Unidos,5.8,2822
Dersu Uzala (El cazador),1975,141,Aventuras,Akira Kurosawa,Akira Kurosawa,Maksim Munzuk,Unión Soviética (URSS),8.3,33094
Desafío total,1990,109,Ciencia ficción,Paul Verhoeven,Paul Verhoeven,Arnold Schwarzenegger,Estados Unidos,6.8,71264
Desaparecida,1988,101,Intriga,George Sluizer,George Sluizer,Bernard-Pierre Donnadieu,Países Bajos (Holanda),6.8,3445
Desayuno en Plutón,2005,129,Drama,Neil Jordan,Neil Jordan,Jean-Marc Barr,Francia,6.8,6839
Desconexión,2012,115,Drama,Henry Alex Rubin,Henry Alex Rubin,Jason Bateman,Estados Unidos,6.9,7260
Descubriendo Nunca Jamás,2004,101,Drama,Marc Forster,Marc Forster,Johnny Depp,Estados Unidos,7.2,50457
Descubriendo a Forrester,2000,136,Drama,Gus Van Sant,Gus Van Sant,Sean Connery,Estados Unidos,6.7,18447
Descubriendo a los Robinsons,2007,102,Animación,Stephen J. Anderson,Stephen J. Anderson, ,Estados Unidos,6.0,6112
Desde el infierno,2001,118,Terror,Albert Hughes,"Albert Hughes,",Johnny Depp,Estados Unidos,6.3,26866
Deseando amar,2000,95,Romance,Wong Kar-Wai,Wong Kar-Wai,Tony Leung Chiu-Wai,Hong Kong,7.8,40052
Desenfocado,2002,104,Drama,Paul Schrader,Paul Schrader,Greg Kinnear,Estados Unidos,5.9,1191
"Deseo, peligro",2007,156,Thriller,Ang Lee,Ang Lee,Tony Leung Chiu-Wai,Taiwán,7.2,8707
Desgracia,2008,114,Drama,Steve Jacobs,Steve Jacobs,John Malkovich,Australia,6.0,1612
Desmadre a la americana,1978,109,Comedia,John Landis,John Landis,John Belushi,Estados Unidos,6.2,6376
Desmontando a Harry,1997,96,Comedia,Woody Allen,Woody Allen,Woody Allen,Estados Unidos,7.6,35952
Despedida de soltero,1984,106,Comedia,Neal Israel,Neal Israel,Tom Hanks,Estados Unidos,5.9,7316
Despedidas,2008,131,Drama,Yōjirō Takita,Yōjirō Takita,Masahiro Motoki,Japón,7.6,11322
Despertares,1990,121,Drama,Penny Marshall,Penny Marshall,Robert De Niro,Estados Unidos,7.3,23693
Despidiendo a Yang,2021,95,Ciencia ficción,Kogonada,Kogonada,Colin Farrell,Estados Unidos,5.9,1851
Despierta la furia,2021,119,Thriller,Guy Ritchie,Guy Ritchie,Jason Statham,Reino Unido,6.3,10788
Después de Lucía,2012,102,Drama,Michel Franco,Michel Franco,Tessa Ia,México,6.6,2086
Después de la boda,2006,122,Drama,Susanne Bier,Susanne Bier,Mads Mikkelsen,Dinamarca,7.1,4669
Después de la tormenta,2016,117,Drama,Hirokazu Koreeda,Hirokazu Koreeda,Hiroshi Abe,Japón,6.6,2445
Después de mayo,2012,122,Drama,Olivier Assayas,Olivier Assayas,Lola Créton,Francia,5.8,1531
Después de nosotros,2016,100,Drama,Joachim Lafosse,Joachim Lafosse,Bérénice Bejo,Bélgica,6.2,1852
Después del amor,2020,90,Drama,Aleem Khan,Aleem Khan,Joanna Scanlan,Reino Unido,6.9,1594
Destellos de genio,2008,119,Drama,Marc Abraham,Marc Abraham,Greg Kinnear,Estados Unidos,6.1,1732
Destino oculto,2011,107,Ciencia ficción,George Nolfi,George Nolfi,Matt Damon,Estados Unidos,6.1,23163
Destino: Woodstock,2009,120,Drama,Ang Lee,Ang Lee,Henry Goodman,Estados Unidos,6.3,4503
Detroit,2017,143,Drama,Kathryn Bigelow,Kathryn Bigelow,John Boyega,Estados Unidos,6.9,11086
Deuda de honor,2014,122,Western,Tommy Lee Jones,Tommy Lee Jones,Hilary Swank,Estados Unidos,6.3,5961
Deuda de sangre,2002,115,Thriller,Clint Eastwood,Clint Eastwood,Clint Eastwood,Estados Unidos,6.2,14912
Dewey Cox: Una vida larga y dura,2007,96,Comedia,Jake Kasdan,Jake Kasdan,John C. Reilly,Estados Unidos,5.8,1744
Dheepan,2015,114,Drama,Jacques Audiard,Jacques Audiard,Jesuthasan Antonythasan,Francia,6.7,4194
Di que sí,2008,104,Romance,Peyton Reed,Peyton Reed,Jim Carrey,Estados Unidos,5.8,23252
Diamante de sangre,2006,138,Aventuras,Edward Zwick,Edward Zwick,Leonardo DiCaprio,Estados Unidos,7.3,74903
Diamantes en bruto,2019,135,Thriller,Ben Safdie,"Ben Safdie,",Adam Sandler,Estados Unidos,6.6,19298
Diamantes negros,2013,100,Drama,Miguel Alcantud,Miguel Alcantud,Setigui Diallo,España,6.3,1570
Diamond Flash,2011,128,Drama,Carlos Vermut,Carlos Vermut,Ángela Boix,España,6.3,5087
Diario de un escándalo,2006,92,Drama,Richard Eyre,Richard Eyre,Judi Dench,Reino Unido,6.9,12117
Diario de un rebelde,1995,102,Drama,Scott Kalvert,Scott Kalvert,Leonardo DiCaprio,Estados Unidos,6.9,20527
Diario íntimo de Adela H.,1975,96,Drama,François Truffaut,François Truffaut,Isabelle Adjani,Francia,6.9,1693
Diarios de la calle,2007,123,Drama,Richard LaGravenese,Richard LaGravenese,Hilary Swank,Estados Unidos,6.6,9046
Diarios de motocicleta,2004,128,Aventuras,Walter Salles,Walter Salles,Gael García Bernal,Argentina,7.3,52496
Diaz: No limpiéis esta sangre,2012,120,Drama,Daniele Vicari,Daniele Vicari,Claudio Santamaria,Italia,6.7,1539
Diecisiete,2019,100,Drama,Daniel Sánchez Arévalo,Daniel Sánchez Arévalo,Biel Montoro,España,6.8,12287
Dieciséis velas,1984,93,Romance,John Hughes,John Hughes,Molly Ringwald,Estados Unidos,6.0,4592
Diner,1982,110,Drama,Barry Levinson,Barry Levinson,Steve Guttenberg,Estados Unidos,6.4,1316
Dinero fácil,2010,124,Thriller,Daniel Espinosa,Daniel Espinosa,Joel Kinnaman,Suecia,6.0,2719
"Dios mío, ¿pero qué te hemos hecho?",2014,93,Comedia,Philippe de Chauveron,Philippe de Chauveron,Christian Clavier,Francia,6.0,17241
Dioses y monstruos,1998,105,Drama,Bill Condon,Bill Condon,Ian McKellen,Estados Unidos,7.2,8699
Dirty Dancing,1987,97,Romance,Emile Ardolino,Emile Ardolino,Jennifer Grey,Estados Unidos,6.1,74924
Disobedience,2017,114,Romance,Sebastián Lelio,Sebastián Lelio,Rachel Weisz,Reino Unido,6.3,4716
Dispara a matar,1988,110,Aventuras,Roger Spottiswoode,Roger Spottiswoode,Sidney Poitier,Estados Unidos,5.9,2104
Disparando a perros (Shooting Dogs),2005,115,Drama,Michael Caton-Jones,Michael Caton-Jones,John Hurt,Reino Unido,7.0,2048
Distrito 34: Corrupción total,1990,134,Drama,Sidney Lumet,Sidney Lumet,Nick Nolte,Estados Unidos,6.4,1701
Distrito 9,2009,111,Ciencia ficción,Neill Blomkamp,Neill Blomkamp,Sharlto Copley,Sudáfrica,6.8,81844
Distrito apache: El Bronx,1981,105,Acción,Daniel Petrie,Daniel Petrie,Paul Newman,Estados Unidos,6.5,3547
Disturbia,2007,104,Thriller,D.J. Caruso,D.J. Caruso, ,Estados Unidos,5.8,15573
Divinas,2016,105,Drama,Houda Benyamina,Houda Benyamina,Oulaya Amamra,Francia,6.7,2401
Django desencadenado,2012,165,Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx,Estados Unidos,7.9,116907
Doble cuerpo,1984,110,Intriga,Brian De Palma,Brian De Palma,Craig Wasson,Estados Unidos,6.4,6094
Dobles vidas,2018,107,Drama,Olivier Assayas,Olivier Assayas,Juliette Binoche,Francia,5.9,1743
Doctor Strange en el multiverso de la locura,2022,126,Fantástico,Sam Raimi,Sam Raimi,Benedict Cumberbatch,Estados Unidos,6.4,20053
Doctor Sueño,2019,151,Terror,Mike Flanagan,Mike Flanagan,Ewan McGregor,Estados Unidos,6.3,16137
Dog Pound (La perrera),2010,91,Drama,Kim Chapiron,Kim Chapiron,Adam Butcher,Canadá,6.1,2394
Dogma,1999,130,Comedia,Kevin Smith,Kevin Smith,Ben Affleck,Estados Unidos,6.5,26552
Dogman,2018,102,Thriller,Matteo Garrone,Matteo Garrone,Marcello Fonte,Italia,6.8,9376
Dogville,2003,177,Drama,Lars von Trier,Lars von Trier,Nicole Kidman,Dinamarca,7.5,68477
Dolls,2002,113,Drama,Takeshi Kitano,Takeshi Kitano,Miho Kanno,Japón,7.2,9278
Dolor y dinero,2013,129,Comedia,Michael Bay,Michael Bay,Mark Wahlberg,Estados Unidos,5.8,19229
Dolor y gloria,2019,108,Drama,Pedro Almodóvar,Pedro Almodóvar,Antonio Banderas,España,6.9,31355
Domicilio desconocido,2001,117,Drama,Kim Ki-duk,Kim Ki-duk,Yang Dong-kun,Corea del Sur,6.9,1019
Donde viven los monstruos,2009,101,Fantástico,Spike Jonze,Spike Jonze,Max Records,Estados Unidos,6.2,27572
Donnie Brasco,1997,122,Drama,Mike Newell,Mike Newell,Al Pacino,Estados Unidos,7.3,27232
Donnie Darko,2001,113,Fantástico,Richard Kelly,Richard Kelly,Jake Gyllenhaal,Estados Unidos,7.4,80625
Dope,2015,103,Drama,Rick Famuyiwa,Rick Famuyiwa,Noomi Rapace,Noruega,6.2,3826
Dos buenos tipos,2016,116,Comedia,Shane Black,Shane Black,Denzel Washington,Estados Unidos,6.2,22101
"Dos días, una noche",2014,96,Drama,Jean-Pierre Dardenne,"Jean-Pierre Dardenne,",Inma Cuesta,España,6.8,12054
Dos hermanas,2003,115,Terror,Kim Jee-woon,Kim Jee-woon,Kim Kap-su,Corea del Sur,5.9,10438
Dos hermanos,2010,105,Drama,Daniel Burman,Daniel Burman,Antonio Gasalla,Argentina,5.8,1053
Dos hermanos,2004,109,Aventuras,Jean-Jacques Annaud,Jean-Jacques Annaud,Guy Pearce,Francia,6.4,4755
Dos más dos,2012,107,Comedia,Diego Kaplan,Diego Kaplan,Adrián Suar,Argentina,5.8,1640
Dos vidas,2012,90,Drama,Georg Maas,"Georg Maas,",Juliane Köhler,Alemania,6.4,1916
Dos vidas en un instante,1998,99,Comedia,Peter Howitt,Peter Howitt,Gwyneth Paltrow,Estados Unidos,5.9,7661
Down by Law (Bajo el peso de la ley),1986,107,Comedia,Jim Jarmusch,Jim Jarmusch,Tom Waits,Estados Unidos,7.6,12338
Downton Abbey,2019,122,Drama,Michael Engler,Michael Engler,Hugh Bonneville,Reino Unido,6.5,4996
Downton Abbey: Una nueva era,2022,125,Drama,Simon Curtis,Simon Curtis,Hugh Bonneville,Reino Unido,6.5,1871
Doña Clara,2016,140,Drama,Kleber Mendonça Filho,Kleber Mendonça Filho,Mouna Hawa,Israel,6.8,2770
Dr. Strange (Doctor Extraño),2016,115,Fantástico,Scott Derrickson,Scott Derrickson,Benedict Cumberbatch,Estados Unidos,6.5,39467
Dragon (Wu xia),2011,116,Acción,Peter Chan,Peter Chan,Donnie Yen,Hong Kong,6.3,1585
Dragon Ball Super: Broly,2018,100,Animación,Tatsuya Nagamine,Tatsuya Nagamine, ,Japón,6.6,4797
"Dragon, la vida de Bruce Lee",1993,120,Acción,Rob Cohen,Rob Cohen,Jim Carrey,Estados Unidos,6.2,9606
Dragonheart (Corazón de dragón),1996,106,Fantástico,Rob Cohen,Rob Cohen,Dennis Quaid,Estados Unidos,5.9,18377
Dream,2008,95,Drama,Kim Ki-duk,Kim Ki-duk,Jô Odagiri,Corea del Sur,5.8,1151
Dream Home,2010,96,Terror,Pang Ho-Cheung,Pang Ho-Cheung,Josie Ho,Hong Kong,6.1,1030
Dreamgirls,2006,131,Musical,Bill Condon,Bill Condon,Jamie Foxx,Estados Unidos,6.0,8028
Dredd,2012,95,Acción,Pete Travis,Pete Travis,Karl Urban,Reino Unido,6.0,22303
Drive,2011,100,Thriller,Nicolas Winding Refn,Nicolas Winding Refn,Ryan Gosling,Estados Unidos,7.2,84930
Drive My Car,2021,179,Drama,Ryûsuke Hamaguchi,Ryûsuke Hamaguchi,Hidetoshi Nishijima,Japón,6.9,9152
Driver,1978,90,Intriga,Walter Hill,Walter Hill,Ryan O'Neal,Estados Unidos,6.6,1887
Drug War: La guerra de la droga,2012,102,Thriller,Johnnie To,Johnnie To,Louis Koo,China,6.2,2108
Drugstore Cowboy,1989,100,Drama,Gus Van Sant,Gus Van Sant,Matt Dillon,Estados Unidos,7.0,7374
Drácula,1979,109,Terror,John Badham,John Badham,Frank Langella,Reino Unido,6.2,1990
Drácula de Bram Stoker,1992,130,Terror,Francis Ford Coppola,Francis Ford Coppola,Gary Oldman,Estados Unidos,7.6,88468
Dueños de la calle (Reyes de la calle),2008,109,Thriller,David Ayer,David Ayer,Keanu Reeves,Estados Unidos,6.0,11519
Dumplings,2004,91,Terror,Fruit Chan,Fruit Chan,Bai Ling,Hong Kong,6.3,1212
Dune,1984,145,Ciencia ficción,David Lynch,David Lynch,Kyle MacLachlan,Estados Unidos,6.3,43199
Dune,2021,155,Ciencia ficción,Denis Villeneuve,Denis Villeneuve,Timothée Chalamet,Estados Unidos,7.2,37959
Dungeons & Dragons: Honor entre ladrones,2023,134,Fantástico,John Francis Daley,"John Francis Daley,",Chris Pine,Estados Unidos,6.7,6127
Dunkerque,2017,107,Bélico,Christopher Nolan,Christopher Nolan,Fionn Whitehead,Reino Unido,7.0,54440
Durante la tormenta,2018,128,Ciencia ficción,Oriol Paulo,Oriol Paulo,Adriana Ugarte,España,6.4,14195
Déjame entrar,2008,110,Terror,Tomas Alfredson,Tomas Alfredson,Kåre Hedebrant,Suecia,7.3,59536
Déjame entrar (Let Me In),2010,115,Terror,Matt Reeves,Matt Reeves,Kodi Smit-McPhee,Estados Unidos,6.4,13265
Déjame salir,2017,103,Intriga,Jordan Peele,Jordan Peele,Daniel Kaluuya,Estados Unidos,6.8,46564
Déjà Vu,2006,128,Thriller,Tony Scott,Tony Scott,Liam Neeson,Reino Unido,6.2,50673
Día de lluvia en Nueva York,2019,92,Romance,Woody Allen,Woody Allen,Timothée Chalamet,Estados Unidos,6.3,14522
Día de patriotas,2016,130,Thriller,Peter Berg,Peter Berg,Mark Wahlberg,Estados Unidos,6.3,6746
Días contados,1994,93,Thriller,Imanol Uribe,Imanol Uribe,Carmelo Gómez,España,6.3,11085
Días de fútbol,2003,118,Comedia,David Serrano,David Serrano,Ernesto Alterio,España,6.1,48334
Días de vinilo,2012,110,Comedia,Gabriel Nesci,Gabriel Nesci,Gastón Pauls,Argentina,6.1,1617
